CustomerID,Segment,RFM Score,Recency,Total Orders,Total Revenue,Churn Risk,Last Purchase Date
12347,Champions,545,2,7,3243.33,Low Risk,2011-12-07 15:52:00
12348,At Risk,121,249,3,90.2,High Risk,2011-04-05 10:47:00
12349,Loyal Customers,414,19,1,918.0999999999998,Low Risk,2011-11-21 09:51:00
12350,At Risk,112,310,1,294.40000000000003,High Risk,2011-02-02 16:01:00
12352,Loyal Customers,344,36,8,986.3399999999999,Low Risk,2011-11-03 14:37:00
12353,Lost Customers,111,204,1,29.300000000000004,High Risk,2011-05-19 17:47:00
12354,Potential Loyalists,114,232,1,664.84,Medium Risk,2011-04-21 13:11:00
12355,At Risk,112,214,1,219.0,High Risk,2011-05-09 13:49:00
12356,Potential Loyalists,114,246,2,919.76,Medium Risk,2011-04-08 12:33:00
12357,Loyal Customers,315,33,1,2827.66,Low Risk,2011-11-06 16:07:00
12358,Potential Loyalists,511,2,2,92.82,Medium Risk,2011-12-08 10:26:00
12359,Champions,535,8,6,2739.6800000000003,Low Risk,2011-12-02 11:21:00
12360,Loyal Customers,325,52,3,1843.16,Low Risk,2011-10-18 15:22:00
12361,At Risk,112,287,1,174.89999999999998,High Risk,2011-02-25 13:51:00
12362,Champions,545,3,13,3926.39,Low Risk,2011-12-06 15:40:00
12363,Potential Loyalists,213,110,2,484.5,Medium Risk,2011-08-22 10:18:00
12364,Loyal Customers,524,8,3,1106.28,Low Risk,2011-12-02 10:22:00
12365,At Risk,112,291,1,307.94,High Risk,2011-02-21 13:51:00
12367,Potential Loyalists,511,4,1,138.29999999999998,Medium Risk,2011-12-05 16:48:00
12370,Loyal Customers,335,51,4,2497.41,Low Risk,2011-10-19 14:51:00
12371,Potential Loyalists,314,60,1,1243.91,Medium Risk,2011-10-11 10:43:00
12372,Potential Loyalists,224,72,3,938.34,Medium Risk,2011-09-29 12:12:00
12373,At Risk,112,311,1,299.1,High Risk,2011-02-01 13:10:00
12374,Potential Loyalists,413,25,1,531.7299999999999,Medium Risk,2011-11-14 15:37:00
12375,Loyal Customers,522,3,3,283.3,Low Risk,2011-12-07 11:27:00
12377,Potential Loyalists,115,315,2,1472.52,Medium Risk,2011-01-28 15:45:00
12378,Potential Loyalists,215,130,1,3246.09,Medium Risk,2011-08-02 10:34:00
12379,Potential Loyalists,224,82,3,660.2399999999998,Medium Risk,2011-09-19 10:09:00
12380,Champions,435,22,5,1655.55,Low Risk,2011-11-18 11:27:00
12381,Champions,534,5,5,1171.56,Low Risk,2011-12-05 12:44:00
12383,Potential Loyalists,134,185,6,1211.84,Medium Risk,2011-06-08 08:02:00
12384,Potential Loyalists,422,29,3,225.62,Medium Risk,2011-11-11 08:39:00
12386,Lost Customers,111,367,1,117.3,High Risk,2010-12-08 09:53:00
12388,Champions,435,16,6,2314.9,Low Risk,2011-11-24 12:30:00
12390,Potential Loyalists,213,80,1,407.74000000000007,Medium Risk,2011-09-21 09:33:00
12391,Potential Loyalists,413,22,1,399.93,Medium Risk,2011-11-18 12:07:00
12393,Loyal Customers,234,72,4,1193.4999999999998,Low Risk,2011-09-28 15:41:00
12394,At Risk,113,217,1,331.18,High Risk,2011-05-06 14:01:00
12395,Champions,445,16,15,1820.1699999999998,Low Risk,2011-11-24 12:20:00
12397,Loyal Customers,315,36,2,1677.16,Low Risk,2011-11-04 09:52:00
12398,Potential Loyalists,314,46,1,1273.2400000000002,Medium Risk,2011-10-25 10:27:00
12399,Loyal Customers,234,119,4,729.1500000000001,Low Risk,2011-08-12 13:15:00
12401,Lost Customers,111,303,1,15.0,High Risk,2011-02-09 13:50:00
12402,At Risk,112,323,1,195.6,High Risk,2011-01-20 13:49:00
12403,At Risk,311,50,1,92.9,High Risk,2011-10-21 10:51:00
12405,Potential Loyalists,214,149,1,1033.47,Medium Risk,2011-07-14 08:52:00
12406,Loyal Customers,415,22,2,2733.48,Low Risk,2011-11-17 19:22:00
12407,Loyal Customers,334,50,5,983.1600000000001,Low Risk,2011-10-21 10:11:00
12408,Champions,345,33,8,1869.47,Low Risk,2011-11-07 12:27:00
12409,Loyal Customers,244,79,7,1217.1899999999998,Low Risk,2011-09-22 10:38:00
12410,At Risk,112,301,2,274.23,High Risk,2011-02-11 15:47:00
12412,Potential Loyalists,224,75,3,1097.19,Medium Risk,2011-09-26 10:16:00
12413,Potential Loyalists,323,67,3,491.65,Medium Risk,2011-10-04 09:00:00
12414,Potential Loyalists,123,217,3,343.65000000000003,Medium Risk,2011-05-06 14:51:00
12415,Champions,345,37,11,2217.21,Low Risk,2011-11-03 11:26:00
12417,Champions,545,3,11,1946.65,Low Risk,2011-12-06 14:52:00
12418,Potential Loyalists,213,113,1,418.16,Medium Risk,2011-08-19 11:08:00
12420,Potential Loyalists,313,64,1,380.29999999999995,Medium Risk,2011-10-07 08:55:00
12421,Loyal Customers,433,16,5,518.32,Low Risk,2011-11-24 09:07:00
12422,Potential Loyalists,224,96,3,645.3099999999998,Medium Risk,2011-09-05 09:48:00
12423,Champions,545,1,9,1517.76,Low Risk,2011-12-09 10:10:00
12424,Potential Loyalists,214,163,2,682.8700000000001,Medium Risk,2011-06-30 12:06:00
12425,Potential Loyalists,213,78,1,538.14,Medium Risk,2011-09-22 17:31:00
12426,At Risk,113,195,1,433.38,High Risk,2011-05-29 12:26:00
12427,Loyal Customers,433,22,4,407.77000000000004,Low Risk,2011-11-18 08:56:00
12428,Champions,445,26,11,4373.93,Low Risk,2011-11-14 08:22:00
12429,Champions,535,9,4,2264.64,Low Risk,2011-11-30 17:22:00
12430,Potential Loyalists,312,43,1,168.6,Medium Risk,2011-10-27 15:09:00
12431,Champions,345,60,15,3232.05,Low Risk,2011-10-10 14:49:00
12432,Loyal Customers,325,43,3,1566.48,Low Risk,2011-10-28 11:40:00
12433,Champions,545,1,7,7350.82,Low Risk,2011-12-09 10:02:00
12434,Potential Loyalists,233,85,4,526.44,Medium Risk,2011-09-16 12:38:00
12435,Lost Customers,111,268,1,78.0,High Risk,2011-03-17 07:40:00
12436,Potential Loyalists,213,100,1,429.01,Medium Risk,2011-09-01 12:09:00
12437,Champions,545,2,18,2709.84,Low Risk,2011-12-08 11:35:00
12438,Loyal Customers,415,14,2,1610.3199999999997,Low Risk,2011-11-25 13:28:00
12441,At Risk,112,367,1,155.55,High Risk,2010-12-08 10:45:00
12442,Potential Loyalists,511,3,1,144.06,Medium Risk,2011-12-06 14:22:00
12444,Champions,435,21,5,2040.8599999999997,Low Risk,2011-11-18 13:23:00
12445,Potential Loyalists,411,22,1,77.4,Medium Risk,2011-11-17 18:43:00
12446,Potential Loyalists,314,58,1,734.36,Medium Risk,2011-10-13 12:50:00
12447,At Risk,113,243,1,379.78999999999996,High Risk,2011-04-10 13:25:00
12448,Potential Loyalists,312,44,1,283.95000000000005,Medium Risk,2011-10-26 13:46:00
12449,Champions,435,22,4,2706.84,Low Risk,2011-11-17 13:46:00
12450,At Risk,211,156,2,131.88,High Risk,2011-07-06 14:41:00
12451,Champions,535,11,5,5692.26,Low Risk,2011-11-29 08:40:00
12452,Potential Loyalists,412,17,2,269.82,Medium Risk,2011-11-23 10:27:00
12453,Potential Loyalists,214,134,1,644.3899999999999,Medium Risk,2011-07-28 14:08:00
12454,At Risk,311,56,1,66.4,High Risk,2011-10-14 17:13:00
12455,Loyal Customers,234,73,5,1162.1599999999999,Low Risk,2011-09-27 15:31:00
12456,Loyal Customers,335,44,4,1631.4900000000005,Low Risk,2011-10-26 14:41:00
12457,Loyal Customers,334,58,4,941.0799999999999,Low Risk,2011-10-12 13:46:00
12458,Potential Loyalists,214,71,2,612.3800000000001,Medium Risk,2011-09-29 15:25:00
12461,Potential Loyalists,213,155,1,387.73,Medium Risk,2011-07-08 10:23:00
12462,Champions,534,2,4,657.8,Low Risk,2011-12-07 14:02:00
12463,Loyal Customers,344,46,7,1129.38,Low Risk,2011-10-24 13:43:00
12464,Potential Loyalists,231,150,4,76.5,Medium Risk,2011-07-13 11:58:00
12465,Loyal Customers,524,8,3,608.99,Low Risk,2011-12-02 11:34:00
12468,Potential Loyalists,223,143,3,562.49,Medium Risk,2011-07-19 13:42:00
12471,Champions,545,2,40,8565.880000000001,Low Risk,2011-12-07 15:43:00
12472,Champions,445,31,13,4995.28,Low Risk,2011-11-09 11:33:00
12473,Loyal Customers,335,54,4,2147.55,Low Risk,2011-10-17 11:27:00
12474,Champions,445,17,28,6067.0,Low Risk,2011-11-22 14:39:00
12475,Potential Loyalists,313,54,1,504.19,Medium Risk,2011-10-17 10:10:00
12476,Champions,545,1,18,3247.88,Low Risk,2011-12-08 14:08:00
12477,Champions,445,23,9,5340.490000000001,Low Risk,2011-11-17 09:51:00
12478,Loyal Customers,513,4,1,449.2400000000001,Low Risk,2011-12-06 09:56:00
12479,Loyal Customers,523,4,3,426.35,Low Risk,2011-12-06 09:25:00
12480,Champions,435,28,4,2163.79,Low Risk,2011-11-11 14:52:00
12481,Champions,445,23,10,3262.0,Low Risk,2011-11-17 08:29:00
12483,Champions,445,17,10,1415.1399999999999,Low Risk,2011-11-22 17:02:00
12484,Loyal Customers,335,35,5,3180.33,Low Risk,2011-11-04 15:18:00
